,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
3489,William Oliveira,BRAZIL,27.0,Lightweight,0,1,0,0,1,0,0,1
3501,Damian Herczyk,POLAND,40.0,Welterweight,0,1,0,0,1,0,0,1
3502,Kamil Lipski,GERMANY,34.0,Welterweight,0,2,0,0,1,0,0,2
3508,Michail Chrisopoulos,GERMANY,27.0,Featherweight,0,1,0,0,1,0,0,1
3514,Vitor Riso,BRAZIL,30.0,Featherweight,0,1,0,0,1,0,0,1
3536,Joe Maiani,USA,43.0,Lightweight,0,1,0,0,1,0,0,1
3546,Michael Elshamy,USA,30.0,Middleweight,0,1,0,0,1,0,0,1
3551,Makoto Maeda,JAPAN,40.0,Welterweight,0,1,0,0,1,0,0,1
3552,Khasanbek Abdulaev,RUSSIA,26.0,Welterweight,0,1,0,0,1,0,0,1
3553,Jordan Bloch,POLAND,38.0,Welterweight,0,2,0,0,1,0,0,2
3554,Jeff Doyle,CANADA,32.0,Welterweight,0,1,0,0,1,0,0,1
3581,Brandon McConkey,USA,37.0,Lightweight,0,1,0,0,1,0,0,1
3586,Alessandro Botti,ITALY,29.0,Lightweight,0,1,0,0,1,0,0,1
3590,Carlos Prates,BRAZIL,24.0,Lightweight,0,1,0,0,1,0,0,1
3591,Yoshinori Ashikawa,JAPAN,35.0,Middleweight,0,1,0,0,1,0,0,1
3597,Casey Manrique,USA,39.0,Middleweight,0,1,0,0,1,0,0,1
3599,Ikkei Nagamura,JAPAN,39.0,Middleweight,0,1,1,0,1,0,0,2
3604,Justin Murray,AUSTRALIA,37.0,Welterweight,0,2,0,0,1,0,0,2
3609,Christ Franck,CANADA,35.0,Welterweight,0,2,0,0,1,0,0,2
3625,Bobby Ologun,NIGERIA,45.0,Heavyweight,0,1,0,0,1,0,0,1
3635,Artiom Kula,MOLDOVA,27.0,Middleweight,0,1,0,0,1,0,0,1
3651,Anthony Netzler,NEW ZEALAND,50.0,Heavyweight,0,1,0,0,1,0,0,1
3656,Doo Hwan Kim,SOUTH KOREA,29.0,Light Heavyweight,0,2,0,0,1,0,0,2
3661,Nick Campbell,CANADA,35.0,Middleweight,0,1,0,0,1,0,0,1
3665,Cristian Magro,ITALY,37.0,Middleweight,0,1,0,0,1,0,0,1
3666,Chase Maxwell,CANADA,33.0,Welterweight,0,1,0,0,1,0,0,1
3681,Rico Farrington,USA,29.0,Welterweight,0,1,0,0,1,0,0,1
3685,Kelly Rundle,USA,55.0,Light Heavyweight,0,1,0,0,1,0,0,1
3689,Jen Aniano,USA,32.0,Atomweight,0,2,0,0,1,0,0,2
3694,Chad Coon,USA,37.0,Bantamweight,0,2,0,0,1,0,0,2
3742,Weyde Ventura,BRAZIL,23.0,Bantamweight,0,2,0,0,1,0,0,2
3817,Alex Soto,USA,34.0,Bantamweight,1,3,0,0,1,0,0,4
3844,Nobuhiro Yoshitake,JAPAN,34.0,Bantamweight,0,3,0,0,1,0,0,3
3848,Adam Sepulveda,USA,27.0,Catch Weight,0,1,0,0,1,0,0,1
