title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Salaman Zhamaldaev,RUSSIA,,,29,Featherweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Brieta Carpenter,USA,,,24,Flyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Shamir Garcia,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Devon Brock,USA,,,,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Islam Salihov,RUSSIA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Nerman Abbasov,AZERBAIJAN,,,24,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Michael Chandler,USA,,,32,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Glaucio Eliziario,BRAZIL,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Aslan Hatuhov,RUSSIA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sarmat Hodov,RUSSIA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cedric Jouvet,FRANCE,,,39,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Konstantin Kharchenko,UKRAINE,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Josh Lewandowski,USA,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Christos Plasaris,GREECE,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Artem Reznikov,KAZAKHSTAN,,,26,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jose de Arimateia Mesquita dos Santos,BRAZIL,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fernando Pontes,BRAZIL,,,,Middleweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Ladarious Jackson,USA,,,26,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Evan Vasquez Matus,COSTA RICA,,,34,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Missy Kassube,,,,,,,0,0,0,0 - 0,0,0,0 - 0,0,0
Elias Marks,,,,43,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Yuriy Protsenko,UKRAINE,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kyle Aguon,,,,,Bantamweight,,5,3,0,0 - 0,0,0,0 - 0,0,0
Ryan Connor,CANADA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Timo-Juhani Hirvikangas,FINLAND,,,34,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Stephen Langdown,,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Aleksander Georgas,POLAND,,,28,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Thiago Luis Bonifacio Silva,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fernando Cosenday,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Boris Fedorov,RUSSIA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Leandro Frois,BRAZIL,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Kamuela Kirk,,,,24,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bartlomiej Kopera,POLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ryota Masuda,JAPAN,,,35,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jonathan Quiroz,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Justin Steave,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Duane van Helvoirt,NETHERLANDS,,,32,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Luiz Carlos Gomes da Silva,BRAZIL,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mike Bannon,USA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Andrew Calandrelli,USA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sergio Cossio,MEXICO,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Bryan Danner,,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Michael Hamida,USA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Zaur Kasumov,RUSSIA,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Ricardo Mayorga,,,,44,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Troy Nawrocki,USA,,,,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Michael Ovsjannikov,GERMANY,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Daniel Reis,BRAZIL,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Marco Polo Reyes,,,,28,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Eliel Silva,BRAZIL,,,28,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Shinpei Sotoyama,JAPAN,,,34,Middleweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Michele Verginelli,ITALY,,,,Middleweight,,0,3,1,0 - 0,0,0,0 - 0,0,0
Collin Mansanas,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Khamzat Sakalov,RUSSIA,,,,Welterweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
William Jackson III,USA,,,,Welterweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Chay Ingram,,,,29,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mikhail Kyslytsa,UKRAINE,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Danasabe Mohammed,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Tomasz Nebeling,POLAND,,,29,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Petr Novak,CZECH REPUBLIC,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Amir Visalimov,AUSTRIA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Chloe Kellum,USA,,,,,,0,0,0,0 - 0,0,0,0 - 0,0,0
Crystal Stokes,,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Elivelton Jose Ramos,BRAZIL,,,,,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hasan Yousefi,IRAN,,,,Light Heavyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Mike Byrnes,USA,,,27,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jonas Boeno do Rosario,,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sean Claffey,USA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Emanuel de Oliveira Lopes,BRAZIL,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Tony DeDolph,,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Niklas Stolze,GERMANY,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sado Ucar,TURKEY,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Stefan Zvijer,SERBIA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Matt Par̩,USA,,,,Middleweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Noel Ligon,,,,36,Middleweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Roberto Amorim,BRAZIL,,,29,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sergey Martynov,RUSSIA,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mark Palbykin,USA,,,,Middleweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Jung Kyo Park,SOUTH KOREA,,,39,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Nick Pica,,,,,Middleweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Eric Roncoroni,USA,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Christopher Anthony,USA,,,38,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jake Buehler,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
