title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Joilton Santos,BRAZIL,,,25,Welterweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Tanner Saraceno,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Laurens-Jan Thijssen,NETHERLANDS,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Alexander Filimoshkin,,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Desmond Walker,USA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tomas Pakutinskas,LITHUANIA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mika Faavale,USA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gabe Beauperthuy,USA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Forrest Beard,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dylan Potter,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Matthew Michaelson,,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mike Ortega,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
James Powell,,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Cliff Thompson,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Michael Ashbridge,USA,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ryan Peake,USA,,,40,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ty Sharp,USA,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Justin Blouvet,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
P.J. Cajigas,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kitt Campbell,AUSTRALIA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Coby Jones,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mike Jones,USA,,,,Welterweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Shawn Pauliuk,CANADA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Hoss Carter,USA,,,,,,0,1,0,0 - 0,0,0,0 - 1,0,1
Julius Anglickas,LITHUANIA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chance Thackston,USA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mehdi Mahouache,,,,,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Brandon Ezzo,USA,,,38,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Brandon Atkins,USA,,,23,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ajlin Ahmic,,,,,Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dorian Ilic,CROATIA,,,,Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chaz Dowdell,USA,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Alexander Barbaryan,UKRAINE,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mike Neun,ENGLAND,,,,Light Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Andrey Kazadaev,,,,27,Middleweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tony Guined,USA,,,36,Heavyweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Angelica Chavez,USA,,,30,Atomweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Michelle Blalock,,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Madoka Okada,JAPAN,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ayumi Saito,,,,,Atomweight,,1,3,0,0 - 0,0,0,0 - 1,0,1
Jess Taylor,,,,,Atomweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Zhang Zhou Hong,CHINA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ant Phillips,ENGLAND,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Antonio Pompeu Vitor,BRAZIL,,,27,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jeferson Hall,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kei Tanigawa,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Rustam Kokraev,RUSSIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tomoko Morii,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Nurtilek Konashov,KAZAKHSTAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
James Saunders,CANADA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Elvin Abbasov,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Anatoly Akhmetov,RUSSIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Roy Allison Jr.,ENGLAND,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Timur Andres,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Yaniv Avraham,ISRAEL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Heliovanio Dexter Batista da Silva,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Asrail Bektimirov,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Marco Beristain,MEXICO,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Moktar Bouacheria,FRANCE,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dave Campbell,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Justin Carr,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Sheila Carvalho Santos,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Lohanna Correia,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Lysane Delourme,FRANCE,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Stanislav Demko,UKRAINE,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Priscila Cristina Dias Batista,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Carleandro dos Santos,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jonatan Feitosa,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Caio Felipe,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Luis Felipe Filgueira da Silva,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Hugo Flores,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Nalva Freitas,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kristian Hansen,DENMARK,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Marcos Kagawa,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kotaro Kazama,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Damien Louloum,FRANCE,,,31,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
John Louro,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jordan Lucas,AUSTRALIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Carlo Mabilen,PHILIPPINES,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Timothy Meeks,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Georgi Menchev,BULGARIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Doug Milbrath,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Nurbay Mirzaliev,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Yasuo Munakata,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Laercio Ribeiro,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Herman Ricks,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Aaron Robinson,USA,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Sulkhan Sakaszwili,POLAND,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Marcos Vinicius Sampaio,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
D'Nearon Seymore,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Shamil Shakhbiev,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tati Silva,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Bogdan Stoilov,BULGARIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Suiane Teixeira dos Santos,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ramunas Timofejevas,LITHUANIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Aslan Titaev,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Alex Ureba,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Steve Wing,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Orudzh Zamanov,AZERBAIJAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Alex Khanbabian,,,,,Bantamweight,AKA (American Kickboxing Academy),0,1,0,0 - 0,0,0,0 - 1,0,1
Jose Adriano,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Aleena Albertson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jose Alday,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Danny Alexander,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Paulo Arum,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dora Baptiste,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Sabino Becerra,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Scott Blevins,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Whitney Brown,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gerald Carreon,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Lennox Chance,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Joel Cleverly,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Joe Corona,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Khris Cramer,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Wascar Cruz,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Rocky Del Monte,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Rudi Desouza,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Luke Dixon,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Daniel Duarte,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Wanderley Esmala,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Frederic Fernandez,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Luis Figueroa,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jeremy Floyd,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Justin Fratto,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Vanderci Garcia,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jose Garza,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Anistavo Gasparzinho,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Corey Holder,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kris Huffman,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Fabian Jacquez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mark Jaromillo,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Andre Jones,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Hyatto Kawabato,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jae Gyeon Kim,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Eun Ho Kye,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Louie Lagunsad,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Bret Lee,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Harley Leimbach,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ismael Leon,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Becky Levi,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Isaiah Lewis,,,,,Bantamweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Sico Ly,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Keiff Mangusan,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Seth Marquez,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Levi Martin,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Peter Martinez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gleison Menezes,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Cory Merriman,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kisack Monroy,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mike Morris,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ngabdi Mulyadi,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Douglas Nascimento,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Steven Nelson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tim Norman,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Marcio Nunes,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Scott O'Shaughnessy,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
David Odle,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
In Suk Oh,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Junior Peba,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dominic Pena,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Travis Reddinger,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Erinaldo Rodriguez,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Patrick Rodriguez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ramon Rodriguez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Navied Sadeghi,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jerry Samson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Guilherme Santos,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Luciano Santos,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Forrest Seabourn,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Travis Sherman,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chris Simmons,,,,,Bantamweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Adam Snook,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
David Suarez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Brian Szohr,,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Juan Tessari,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jesse Thorton,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
John Trent,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Darius Turcinskas,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Bernard Turner,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tony Valente,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chad Vandenberg,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chad Washburn,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Shane Weinischke,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gunawan Wijaya,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Craig Williamson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ian Wolf,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jorge Andrade,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Yudai Aoyama,,,,31,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Cristiano Bananada,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jason Bennett,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Rogerio Bontorin,BRAZIL,,,26,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Rodrigo Boss,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Demetrius Dean,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Christophe Domin,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jose Milton Farias,,,,29,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Muzila Ferraz,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Carlos Heide,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Skyler Holman,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Yoshiyuki Ishikawa,JAPAN,,,31,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Roshaun Jones,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Makoto Kamaya,JAPAN,,,34,Bantamweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Nick Kirk,USA,,,35,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Daisuke Maku,JAPAN,,,34,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Ben Manseau,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Pierre-Etienne Marcoux,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Greg Mayer,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chris McMillen,USA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Frankie Mendez,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Louie Moreno,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Yuta Numakura,,,,39,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Will Ribeiro,,Orthodox,,35,Bantamweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Kizaemon Saiga,JAPAN,,,29,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Leandro Santos,,,,33,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Trey Simpson,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Owen Vance,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Charles Wilson,,,,,Bantamweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Jose Wilson,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Aaron Wise,,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Takumi Yano,,,,,Bantamweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Jeremy Boczulak,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Cody Canterbury,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Nick Gibbons,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Eric Steenberg,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Brett Tillis,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Karl Willis,,,,,Catch Weight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Javon Duhon,,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Devon Brock,USA,,,,Catchweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Louis-Phillipe Gautheir,,,,,Catchweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Renato Velame,,,,35,Catchweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Trevor Sojot,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
PJ Ste-Marie,CANADA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gerard Gilmore,IRELAND,,,33,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Rob Hanna,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jakub Kowalewicz,POLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Danny Lawson,ENGLAND,,,29,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Vitor Pereira Rosario Lima Santos,BRAZIL,,,27,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Andrey Parchenko,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Caleb Williams,USA,,,27,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mohamed Trabelsi,GERMANY,,,21,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Chris Bourdon,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mike Lawrence,USA,,,36,Featherweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Brian Bearman,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Michael Hardiman,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Martin Ayuyu,NORTHERN MARIANAS,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Alberto Mar,MEXICO,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Oscar Nave,PORTUGAL,,,,Featherweight,,0,3,0,0 - 0,0,0,0 - 1,0,1
Antonio Santos de Miranda,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Masanori Hirata,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gerardo Morales,MEXICO,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Joilson Costelinha,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Gadzhimurad Gasanov,RUSSIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kohei Kuraoka,JAPAN,,,,Featherweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Akira Omura,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kosuke Sakai,JAPAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Denis Ahern,IRELAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Denis Alves,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Timur Anashkin,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Zhan Barsukov,LATVIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Josimar Cardoso,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kevin Carney,NORTHERN IRELAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jeanderson Castro,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Mark Chen,,,,,Featherweight,,1,1,0,0 - 0,0,0,0 - 1,0,1
Grant Clarke,ENGLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ashley-James Clive Bridgeman,ENGLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Johnathan Coiote,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Giliarde de Lima,BRAZIL,,,33,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jackson de Padua,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Fabio Defendenti,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Carlos dos Santos,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Fernando dos Santos Silva,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Richie Edwards,USA,,,36,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Kams Ekpo,ENGLAND,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 1,0,1
Jorge Fernando,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Paulo Fonseca,PORTUGAL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Ekaterina Golovatova,RUSSIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Elvin Guseynov,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Stephanie Guyodo,FRANCE,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Steve Hellman,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Dave Hill,,,,,Featherweight,,1,4,0,0 - 0,0,0,0 - 1,0,1
Tynchtykbek Iminzhanov,KYRGYZSTAN,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Jason Jenkins,WALES,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
Tom Johnson,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 1,0,1
